Date,Time,Day,Trial,Animal,Trial Code,Strategy Type,ipe,velocity,totalDistance,distanceAverage,averageHeadingError,percentTraversed,latency,corridorAverage,score,initial heading error,entropy
39229,0.046527778,3,2,43521,25-2 3 2,Not Recognized,527.62,22.92,224.15,65.33,86.86,9.03,9.78,0.29,0,69.20848748,0
39229,0.047222222,3,2,43495,30-1 3 2,Indirect Search,107.35,31.61,90.39,67.63,61.22,3.47,2.86,0.25,2,35.29931573,0
39229,0.047916667,3,2,30-2*,30-2 3 2,Not Recognized,986.38,14.32,240.36,70.34,83.6,6.94,16.79,0.06,0,30.23808515,0
39229,0.049305556,3,2,43490,25-1 3 2,Random Search,602.87,27.31,271.2,67.52,82.39,15.28,9.93,0.01,0,57.34689686,0
39229,0.05,3,3,43521,25-2 3 3,Not Recognized,82.52,89.54,137.9,64.35,91.16,4.86,1.54,0,0,91.33594187,0
39229,0.051388889,3,3,43495,30-1 3 3,Not Recognized,348.82,32.06,196.84,65.48,88.26,9.72,6.14,0,0,58.17351224,0
39229,0.052083333,3,3,30-2*,30-2 3 3,Not Recognized,329.37,24.46,163.66,60.51,91.42,6.94,6.69,0.04,0,62.7172199,0
39229,0.052777778,3,3,43490,25-1 3 3,Not Recognized,208.14,25.79,133.6,45.34,108.94,9.03,5.18,0,0,71.77264664,0
39229,0.054166667,3,4,43521,25-2 3 4,Scanning,512.14,27.44,276.56,52.76,93.35,27.08,10.08,0.02,1,64.70708088,0
39229,0.054861111,3,4,43495,30-1 3 4,Random Search,183.53,31.2,134.76,45.85,110.84,10.42,4.32,0.03,0,65.75597816,0
39229,0.055555556,3,4,30-2*,30-2 3 4,Random Search,405.37,17.24,153.99,50.6,104.42,11.81,8.93,0.08,0,46.08908159,0
39229,0.3,3,1,43496,31-1 3 1,Random Search,2902.43,25.11,1506.67,48.34,91.87,73.61,60,0.24,0,131.2924501,0
39229,0.302777778,3,1,11355,31-2 3 1,Random Search,2725.96,20.73,1243.14,45.45,89.43,55.56,59.96,0.16,0,85.48104647,0
39229,0.304166667,3,1,11689,32-1 3 1,Random Search,2424.94,19.56,1172.54,40.48,96.51,52.08,59.96,0.32,0,78.81476831,0
39229,0.304861111,3,1,11720,32-2 3 1,Not Recognized,153.61,43.58,201.78,33.3,117.82,9.72,4.63,0.1,0,103.3632837,0
